Rxn_name	Comp_correction	Ratelaw						
vTL122	Cytoplasm	kTL122_1*m_RPS6KB2*(EIF4E/(kTL122_2+EIF4E))	0.0557306	100				
vTL123	Cytoplasm	kTL123_1*m_EIF4EBP1*(EIF4E/(kTL123_2+EIF4E))	0.06125023	100				
vTL124	Cytoplasm	kTL124_1*m_SOS1*(EIF4E/(kTL124_2+EIF4E))	0.009427201	100				
vTL125	Cytoplasm	kTL125_1*m_CDKN2A*(EIF4E/(kTL125_2+EIF4E))	0.01236526	100				
vTL126	Cytoplasm	kTL126_1*m_MDM4*(EIF4E/(kTL126_2+EIF4E))	0.001518757	100				
vTL127	Cytoplasm	kTL127_1*m_FGFR1*(EIF4E/(kTL127_2+EIF4E))	0.001835863	100				
vTL128	Cytoplasm	kTL128_1*m_FGFR2*(EIF4E/(kTL128_2+EIF4E))	0.001835863	100				
vTL129	Cytoplasm	kTL129_1*m_FGF1*(EIF4E/(kTL129_2+EIF4E))	0.07122388	100				
vTL130	Cytoplasm	kTL130_1*m_FGF2*(EIF4E/(kTL130_2+EIF4E))	0.07122388	100				
vTL131	Cytoplasm	kTL131_1*m_EIF4E*(EIF4E/(kTL131_2+EIF4E))	0.1190007	100				
vTL132	Cytoplasm	kTL132_1*m_IRS1*(EIF4E/(kTL132_2+EIF4E))	0.005799864	100				
vTL133	Cytoplasm	kTL133_1*m_IRS2*(EIF4E/(kTL133_2+EIF4E))	0.113843	100				
vTL134	Cytoplasm	kTL134_1*m_IGF1*(EIF4E/(kTL134_2+EIF4E))	0.07122388	100				
vTL135	Cytoplasm	kTL135_1*m_IGF2*(EIF4E/(kTL135_2+EIF4E))	0.07122388	100				
vTL136	Cytoplasm	kTL136_1*m_IGF1R*(EIF4E/(kTL136_2+EIF4E))	0.01450361	100				
vTL137	Cytoplasm	kTL137_1*m_MSH6*(EIF4E/(kTL137_2+EIF4E))	0.07574784	100				
vTL138	Cytoplasm	kTL138_1*m_BRCA2*(EIF4E/(kTL138_2+EIF4E))	0.04751087	100				
vTL139	Cytoplasm	kTL139_1*m_MGMT*(EIF4E/(kTL139_2+EIF4E))	0.2023389	100				
vTL140	Cytoplasm	kTL140_1*m_INSR*(EIF4E/(kTL140_2+EIF4E))	0.01397178	100				
vTL141	Cytoplasm	kTL141_1*m_INS*(EIF4E/(kTL141_2+EIF4E))	0.07122388	100				
vTLCd1	Nucleus	0						
vTLCd2	Nucleus	0						
vTLCd3	Nucleus	0						
vTLCd4	Nucleus	7.70E-05						
vTLCd5	Nucleus	5.54E-06						
vTLCd6	Nucleus	5.60E-06						
vTLCd7	Nucleus	0						
vTLCd8	Nucleus	0.00026019						
vTLCd9	Nucleus	6.03E-06						
vTLCd10	Nucleus	1.21E-05						
vTLCd11	Nucleus	0						
vTLCd12	Nucleus	0						
vTLCd13	Nucleus	0						
vTLCd14	Nucleus	0						
vTLCd15	Nucleus	0						
vTLCd16	Nucleus	0						
vTLCd17	Nucleus	0						
vTLCd18	Nucleus	0						
vTLCd19	Nucleus	0						
vTLCd20	Nucleus	0						
vTLCd21	Nucleus	0						
vTLCd22	Nucleus	0						
vTLCd23	Nucleus	0						
vTLCd24	Nucleus	0						
vTLCd25	Nucleus	0						
vTLCd26	Nucleus	0						
vTLCd27	Cytoplasm	0						
vTLCd28	Cytoplasm	2.69E-06						
vTLCd29	Cytoplasm	0.000192541						
vTLCd30	Cytoplasm	2.34E-06						
vTLCd31	Cytoplasm	2.86E-05						
vTLCd32	Cytoplasm	2.33E-06						
vTLCd33	Cytoplasm	5.32E-07						
vTLCd34	Cytoplasm	2.86E-05						
vTLCd35	Cytoplasm	2.50E-06						
vTLCd36	Cytoplasm	2.83E-06						
vTLCd37	Cytoplasm	0.000121963						
vTLCd38	Cytoplasm	2.47E-06						
vTLCd39	Mitochondrion	1.32E-06						
vTLCd40	Mitochondrion	2.10E-06						
vTLCd41	Cytoplasm	6.06E-06						
vTLCd42	Cytoplasm	2.34E-06						
vTLCd43	Cytoplasm	9.25E-06						
vTLCd44	Cytoplasm	2.75E-05						
vTLCd45	Cytoplasm	0.000128361						
vTLCd46	Cytoplasm	6.42E-05						
vTLCd47	Cytoplasm	0						
vTLCd48	Cytoplasm	0						
vTLCd49	Cytoplasm	0						
vTLCd50	Cytoplasm	0						
vTLCd51	Cytoplasm	0						
vTLCd52	Cytoplasm	0						
vTLCd53	Cytoplasm	0						
vTLCd54	Cytoplasm	1.51E-05						
vTLCd55	Cytoplasm	1.04E-05						
vTLCd56	Cytoplasm	1.23E-05						
vTLCd57	Cytoplasm	0						
vTLCd58	Cytoplasm	0						
vTLCd59	Cytoplasm	6.55E-06						
vTLCd60	Cytoplasm	6.42E-05						
vTLCd61	Cytoplasm	6.55E-06						
vTLCd62	Cytoplasm	6.55E-06						
vTLCd63	Cytoplasm	2.87E-05						
vTLCd64	Cytoplasm	5.82E-05						
vTLCd65	Cytoplasm	9.63E-05						
vTLCd66	Cytoplasm	6.51E-06						
vTLCd67	Cytoplasm	1.12E-05						
vTLCd68	Cytoplasm	6.22E-06						
vTLCd69	Cytoplasm	4.81E-06						
vTLCd70	Cytoplasm	4.39E-06						
vTLCd71	Cytoplasm	8.99E-06						
vTLCd72	Cytoplasm	6.78E-06						
vTLCd73	Cytoplasm	6.86E-06						
vTLCd74	Cytoplasm	2.49E-06						
vTLCd75	Cytoplasm	9.62E-06						
vTLCd76	Cytoplasm	9.62E-06						
vTLCd77	Cytoplasm	2.22E-06						
vTLCd78	Nucleus	0.000256721						
vTLCd79	Nucleus	3.23E-06						
vTLCd80	Nucleus	0.000256721						
vTLCd81	Nucleus	0.000256721						
vTLCd82	Cytoplasm	8.89E-05						
vTLCd83	Cytoplasm	0.000385082						
vTLCd84	Cytoplasm	1.34E-05						
vTLCd85	Cytoplasm	1.45E-06						
vTLCd86	Cytoplasm	5.75E-06						
vTLCd87	Cytoplasm	7.01E-06						
vTLCd88	Cytoplasm	7.24E-06						
vTLCd89	Cytoplasm	5.16E-06						
vTLCd90	Cytoplasm	5.85E-06						
vTLCd91	Cytoplasm	3.68E-06						
vTLCd92	Cytoplasm	5.35E-06						
vTLCd93	Cytoplasm	3.18E-06						
vTLCd94	Cytoplasm	5.93E-07						
vTLCd95	Cytoplasm	3.43E-06						
vTLCd96	Cytoplasm	4.15E-06						
vTLCd97	Cytoplasm	8.40E-06						
vTLCd98	Cytoplasm	2.55E-05						
vTLCd99	Cytoplasm	6.41E-06						
vTLCd100	Cytoplasm	3.03E-05						
vTLCd101	Cytoplasm	5.00E-06						
vTLCd102	Cytoplasm	1.67E-06						
vE1	Cytoplasm	0.001						
vE2	Cytoplasm	0.1						
vE3	Cytoplasm	kE3	0.000210658					
vE4	Cytoplasm	1.67E-06						
vE5	Cytoplasm	1.67E-06						
vD1	Nucleus	0						
vD2	Nucleus	kD2*MDM2*p53inac	1.39E-06					
vD3	Nucleus	kD3_1+kD3_2*p53inac*((ATMP^kD3_3)/((ATMP^kD3_3)+(kD3_4^kD3_3))+(ATRac^kD3_3)/((ATRac^kD3_3)+(kD3_4^kD3_3)))	0.0005	0.002777778	4	1000		
vD4	Nucleus	kD4*Wip1*p53ac	3.89E-08					
vD5	Nucleus	kD5*p53inac	0.000555556					
vD6	Nucleus	kD6*MDM2*p53ac	3.89E-07					
vD7	Nucleus	0						
vD8	Nucleus	0						
vD9	Nucleus	kD9*MDM2*ATMP	1.39E-07					
vD10	Nucleus	kD10*MDM2*ATRac	2.78E-08					
vD11	Nucleus	kD11*MDM2	0.000277778					
vD12	Nucleus	0						
vD13	Nucleus	kD13*Wip1	0.000194444					
vD14	Nucleus	kD14_1*((damageDSB^kD14_2)/((kD14_3^kD14_2)+(damageDSB^kD14_2)))	2.777778	20	2			
vD15	Nucleus	kD15_1*ATMP*(Wip1^kD15_2)/((Wip1^kD15_2)+(kD15_3^kD15_2))	0.01388889	4	200			
vD16	Nucleus	kD16*ATMP	0.002083333					
vD17	Nucleus	kD17_1*((damageSSB^kD517_2)/((kD17_3^kD17_2)+(damageSSB^kD17_2)))	1.25	20	2			
vD18	Nucleus	kD18*ATRac	0.002083333					
vD19	Nucleus	MDM2product1/kD19	122.2128					
vD20	Nucleus	p53ac/kD20	122.2128					
vD21	Nucleus	MDM2product2/kD21	211.0104					
vD22	Nucleus	MDM2product1/kD22	211.0104					
vD23	Nucleus	MDM2product3/kD23	12.88008					
vD24	Nucleus	MDM2product2/kD24	12.88008					
vD25	Nucleus	MDM2product4/kD25	1213.38					
vD26	Nucleus	MDM2product3/kD26	1213.38					
vD27	Nucleus	MDM2product5/kD27	48.5856					
vD28	Nucleus	MDM2product4/kD28	48.5856					
vD29	Nucleus	MDM2product6/kD29	111.3804					
vD30	Nucleus	MDM2product5/kD30	111.3804					
vD31	Nucleus	MDM2product7/kD31	15.28632					
