Rxn_name	Comp_correction	Ratelaw						
vC47	Nucleus	2.36E-05						
vC48	Nucleus	kC48_1*(Wee1+kC48_2)*(Ma/(kC48_3+Ma))	0.008736111	50	10			
vC49	Nucleus	kC49_1*Pa*(Mai/(kC49_2+Mai))	0.009444444	10				
vC50	Nucleus	7.08E-06						
vC51	Nucleus	0.000590278						
vC52	Nucleus	kC52_1*Me*(p27/(p27+kC52_2))	0.4722222	50				
vC53	Nucleus	kC53_1*(p27p/(p27p+kC53_2))	0.04722222	50				
vC54	Nucleus	kC54_1*(Skp2/(Skp2+kC54_2))*(p27p/(p27p+kC54_3))	2.361111	10	10			
vC55	Nucleus	4.72E-05						
vC56	Nucleus	kC56_1*(Cdh1a/(kC56_2+Cdh1a))*(Ma+Mb)	0.03777778	1				
vC57	Nucleus	kC57_1*(Cdh1i/(kC57_2+Cdh1i))	0.5902778	1				
vC58	Nucleus	0.000944444						
vC59	Nucleus	0						
vC60	Nucleus	0.000472222						
vC61	Nucleus	0						
vC62	Nucleus	kC62_1*(kC62_2+(kC62_3*Chk1))*(Pa/(kC62_4+Pa))	0.4722222	1	0.01	10		
vC63	Nucleus	kC63_1*(Ma+kC63_2)*(Pai/(kC63_3+Pai))	0.01888889	20	10			
vC64	Nucleus	0.000708333						
vC65	Nucleus	0.000354167						
vC66	Nucleus	0						
vC67	Nucleus	kC67_1*Cb*(kC67_2-(Mbi+Mb+Mbp27+Mbp21))	1.18E-05	50				
vC68	Nucleus	0.000472222						
vC69	Nucleus	kC69_1*(Cb/(kC69_2+Cb))*((Cdc20a/(kC69_3+Cdc20a))+(Cdh1a/(kC69_4+Cdh1a)))	0.02833333	0.5	20	10		
vC70	Nucleus	2.36E-05						
vC71	Nucleus	kC71_1*(Wee1+kC71_2)*(Mb/(kC71_3+Mb))	0.009916667	50	10			
vC72	Nucleus	kC72_1*Pb*(Mbi/(kC72_2+Mbi))	0.01841667	10				
vC73	Nucleus	5.67E-06						
vC74	Nucleus	0.000944444						
vC75	Nucleus	0						
vC76	Nucleus	kC76_1*Mb*(Cdc20i/(kC76_2+Cdc20i))	0.03777778	10				
vC77	Nucleus	kC77_1*(Cdc20a/(kC77_2+Cdc20a))	0.3305556	10				
vC78	Nucleus	0.000661111						
vC79	Nucleus	0.000236111						
vC80	Nucleus	0						
vC81	Nucleus	kC81_1*(kC81_2+(kC81_3*Chk1))*(Pb/(kC81_4+Pb))	0.4722222	1	0.01	10		
vC82	Nucleus	kC82_1*(Mb+kC82_2)*(Pbi/(kC82_3+Pbi))	0.02361111	11	10			
vC83	Nucleus	0.000944444						
vC84	Nucleus	0.000472222						
vC85	Nucleus	0						
vC86	Nucleus	kC86_1*(Mb+kC86_2)*(Wee1/(kC86_3+Wee1))	0.005666667	75	10			
vC87	Nucleus	kC87_1*(Wee1p/(kC87_2+Wee1p))	0.4722222	10				
vC88	Nucleus	0.000472222						
vC89	Nucleus	0.000944444						
vC90	Nucleus	kC90_1*ATRac*((kC90_2-Chk1)/(kC90_3+(kC90_2-Chk1)))	0.01888889	50	50			
vC91	Nucleus	kC91_1*(Chk1/(kC91_2+Chk1))	0.04722222	50				
vC92	Nucleus	2.36E-05						
vC93	Nucleus	0						
vC94	Nucleus	0						
vC95	Nucleus	0.000283333						
vC96	Nucleus	1.42E-06						
vC97	Nucleus	0.000236111						
vC98	Nucleus	1.89E-06						
vC99	Nucleus	0.000472222						
vC100	Nucleus	1.42E-06						
vC101	Nucleus	0.000590278						
vC102	Nucleus	1.13E-06						
vC103	Nucleus	0.000944444						
vC104	Nucleus	0.000289731						
vA1	Cytoplasm	0.00126483						
vA2	Cytoplasm	0.001						
vA3	Cytoplasm	1.00E-06						
vA4	Cytoplasm	0.003162075						
vA5	Cytoplasm	0.001						
vA6	Cytoplasm	0.003162075						
vA7	Cytoplasm	0.001						
vA8	Cytoplasm	1						
vA9	Cytoplasm	0.003162075						
vA10	Cytoplasm	0.001						
vA11	Cytoplasm	0.000316208						
vA12	Cytoplasm	0.001						
vA13	Cytoplasm	0.001						
vA14	Cytoplasm	3.16E-06						
vA15	Cytoplasm	0.001						
vA16	Cytoplasm	1						
vA17	Cytoplasm	9.49E-06						
vA18	Cytoplasm	0.001						
vA19	Cytoplasm	1						
vA20	Cytoplasm	0.00632415						
vA21	Cytoplasm	0.001						
vA22	Cytoplasm	0.1						
vA23	Cytoplasm	3.16E-05						
vA24	Cytoplasm	0.01						
vA25	Cytoplasm	1						
vA26	Cytoplasm	3.16E-06						
vA27	Cytoplasm	0.001						
vA28	Cytoplasm	0.0001						
vA29	Cytoplasm	0.003162075						
vA30	Cytoplasm	0.001						
vA31	Cytoplasm	0.000316208						
vA32	Cytoplasm	0.001						
vA33	Cytoplasm	1						
vA34	Cytoplasm	0.01						
vA35	Mitochondrion	0.01						
vA36	Mitochondrion	0.003162075						
vA37	Mitochondrion	0.001						
vA38	Mitochondrion	316.2075						
vA39	Mitochondrion	10						
vA40	Mitochondrion	0.003162075						
vA41	Mitochondrion	0.001						
vA42	Mitochondrion	316.2075						
vA43	Mitochondrion	10						
vA44	Mitochondrion	0.003162075						
vA45	Mitochondrion	0.001						
vA46	Mitochondrion	0.003162075						
vA47	Mitochondrion	0.001						
vA48	Mitochondrion	1						
vA49	Mitochondrion	0.00632415						
vA50	Mitochondrion	1						
vA51	Mitochondrion	0.1						
vA52	Mitochondrion	0.00632415						
vA53	Mitochondrion	1						
vA54	Mitochondrion	0.1						
vA55	Mitochondrion	0.01						
vA56	Cytoplasm	0.01						
vA57	Cytoplasm	0.001581038						
vA58	Cytoplasm	0.001						
vA59	Cytoplasm	1						
vA60	Cytoplasm	0.000158104						
vA61	Cytoplasm	0.001						
vA62	Cytoplasm	1.58E-05						
vA63	Cytoplasm	0.001						
vA64	Cytoplasm	0.0001						
vA65	Mitochondrion	0.01						
vA66	Cytoplasm	0.01						
vA67	Cytoplasm	0.00632415						
vA68	Cytoplasm	0.001						
vA69	Cytoplasm	0.02213453						
vA70	Cytoplasm	0.001						
vA71	Cytoplasm	0.003162075						
vA72	Cytoplasm	0.001						
vA73	Cytoplasm	0.003162075						
vA74	Cytoplasm	0.001						
vA75	Cytoplasm	0.003162075						
vA76	Cytoplasm	0.001						
vA77	Cytoplasm	1.58E-08						
vA78	Cytoplasm	0.001						
vA79	Cytoplasm	1						
vA80	Cytoplasm	0.003162075						
vA81	Cytoplasm	0.001						
vA82	Mitochondrion	0.01						
vA83	Mitochondrion	0.01						
vA84	Mitochondrion	0.01						
vA85	Cytoplasm	0.001						
vA86	Mitochondrion	0.1						
vA87	Cytoplasm	1.00E-09						
vR1	Cytoplasm	0.001						
vR2	Cytoplasm	0.001						
vR3	Cytoplasm	0.01						
vR4	Cytoplasm	0.001						
vR5	Cytoplasm	0.01						
vR6	Cytoplasm	0.01						
vR7	Cytoplasm	0.001						
vR8	Cytoplasm	0.02						
vR9	Cytoplasm	0.01						
vR10	Cytoplasm	0.01						
vR11	Cytoplasm	0.01						
vR12	Cytoplasm	0.001						
vR13	Cytoplasm	0.001						
vR14	Cytoplasm	0.01						
vR15	Cytoplasm	0.01						
vR16	Cytoplasm	0.01						
vR17	Cytoplasm	0.01						
vR18	Cytoplasm	0.01						
vR19	Cytoplasm	0.01						
vR20	Cytoplasm	0.01						
vR21	Cytoplasm	0.001						
vR22	Cytoplasm	0.01						
vR23	Cytoplasm	0.01						
vR24	Cytoplasm	0.01						
vR25	Cytoplasm	0.001						
vR26	Cytoplasm	0.001						
vR27	Cytoplasm	0.01						
vR28	Cytoplasm	0.01						
vR29	Cytoplasm	0.01						
vR30	Cytoplasm	0.01						
vR31	Cytoplasm	0.001						
vR32	Cytoplasm	0.01						
vR33	Cytoplasm	0.01						
vR34	Cytoplasm	0.01						
vR35	Cytoplasm	0.001						
vR36	Cytoplasm	0.02						
vR37	Cytoplasm	0.01						
vR38	Cytoplasm	0.01						
vR39	Cytoplasm	0.01						
vR40	Cytoplasm	0.01						
vR41	Cytoplasm	0.01						
vR42	Cytoplasm	0.01						
vR43	Cytoplasm	0.001						
vR44	Cytoplasm	0.01						
vR45	Cytoplasm	0.01						
vR46	Cytoplasm	0.01						
vR47	Cytoplasm	0.001						
vR48	Cytoplasm	0.001						
vR49	Cytoplasm	0.01						
vR50	Cytoplasm	0.01						
vR51	Cytoplasm	0.01						
vR52	Cytoplasm	0.01						
vR53	Cytoplasm	0.001						
vR54	Cytoplasm	0.01						
vR55	Cytoplasm	0.01						
vR56	Cytoplasm	0.01						
vR57	Cytoplasm	0.001						
vR58	Cytoplasm	0.01						
vR59	Cytoplasm	0.01						
vR60	Cytoplasm	0.01						
vR61	Cytoplasm	0.01						
vR62	Cytoplasm	0.01						
vR63	Cytoplasm	0.001						
vR64	Cytoplasm	0.02						
vR65	Cytoplasm	0.01						
vR66	Cytoplasm	0.01						
vR67	Cytoplasm	0.001						
vR68	Cytoplasm	0.1						
vR69	Cytoplasm	0.001						
vR70	Cytoplasm	0.1						
vR71	Cytoplasm	0.001						
vR72	Cytoplasm	0.1						
vR73	Cytoplasm	0.05						
vR74	Cytoplasm	0.0016						
vR75	Cytoplasm	0.01						
vR76	Cytoplasm	0.01						
vR77	Cytoplasm	0.05						
vR78	Cytoplasm	0.0032						
vR79	Cytoplasm	0.01						
vR80	Cytoplasm	0.01						
vR81	Cytoplasm	0.05						
vR82	Cytoplasm	0.05						
vR83	Cytoplasm	0.01						
vR84	Cytoplasm	0.0001						
vR85	Cytoplasm	2						
vR86	Cytoplasm	0.001						
vR87	Cytoplasm	0.001						
vR88	Cytoplasm	2.00E-05						
vR89	Cytoplasm	0.01						
vR90	Cytoplasm	0.001						
vR91	Cytoplasm	0.004						
vR92	Cytoplasm	0.001						
vR93	Cytoplasm	0.001						
vR94	Cytoplasm	0.01						
vR95	Cytoplasm	0.01						
vR96	Cytoplasm	0						
vR97	Cytoplasm	0.01						
vR98	Cytoplasm	0						
vR99	Cytoplasm	0.1						
vR100	Cytoplasm	1						
vR101	Cytoplasm	0.1						
vR102	Cytoplasm	1						
vR103	Cytoplasm	0.1						
vR104	Cytoplasm	1						
vR105	Cytoplasm	0.001						
vR106	Cytoplasm	1						
vR107	Cytoplasm	0.001						
vR108	Cytoplasm	1						
vR109	Cytoplasm	0.001						
vR110	Cytoplasm	1						
vR111	Cytoplasm	0.001						
vR112	Cytoplasm	1						
vR113	Cytoplasm	0.001						
vR114	Cytoplasm	1						
vR115	Cytoplasm	0.001						
vR116	Cytoplasm	1						
vR117	Cytoplasm	0.001						
vR118	Cytoplasm	1						
vR119	Cytoplasm	0.001						
vR120	Cytoplasm	1						
vR121	Cytoplasm	0.001						
vR122	Cytoplasm	1						
vR123	Cytoplasm	0.002						
vR124	Cytoplasm	0.001						
vR125	Cytoplasm	0.001						
vR126	Cytoplasm	0.001						
vR127	Cytoplasm	0.001						
vR128	Cytoplasm	0.001						
vR129	Cytoplasm	0.001						
vR130	Cytoplasm	0.001						
vR131	Cytoplasm	0.001						
vR132	Cytoplasm	0.001						
vR133	Cytoplasm	0.001						
vR134	Cytoplasm	0.001						
vR135	Cytoplasm	0.001						
vR136	Cytoplasm	0.001						
vR137	Cytoplasm	0.001						
vR138	Cytoplasm	0.001						
vR139	Cytoplasm	0.002						
vR140	Cytoplasm	0.001						
vR141	Cytoplasm	0.002						
vR142	Cytoplasm	0.001						
vR143	Cytoplasm	0.001						
vR144	Cytoplasm	1						
vR145	Cytoplasm	0.1						
vR146	Cytoplasm	0.0016						
vR147	Cytoplasm	0.001						
vR148	Cytoplasm	1						
vR149	Cytoplasm	0.002						
vR150	Cytoplasm	2.00E-05						
vR151	Cytoplasm	0.000347						
vR152	Cytoplasm	3.12E-05						
vR153	Cytoplasm	0.000347						
vR154	Cytoplasm	0.0031						
vR155	Cytoplasm	9.80E-05						
vR156	Cytoplasm	0.0031						
vR157	Cytoplasm	5.58E-06						
vR158	Cytoplasm	0.01						
vRP1_1	Cytoplasm	1						
vRP1_2	Cytoplasm	1						
vRP1_3	Cytoplasm	1						
vRP1_4	Cytoplasm	1						
vRP1_5	Cytoplasm	1						
vRP1_6	Cytoplasm	1						
vRP1_7	Cytoplasm	1						
vRP1_8	Cytoplasm	1						
vRP1_9	Cytoplasm	1						
vRP1_10	Cytoplasm	1						
vRP1_11	Cytoplasm	1						
vRP1_12	Cytoplasm	1						
vRP1_13	Cytoplasm	1						
vRP1_14	Cytoplasm	1						
vRP1_15	Cytoplasm	1						
vRP1_16	Cytoplasm	1						
vRP1_17	Cytoplasm	1						
vRP1_18	Cytoplasm	1						
vRP1_19	Cytoplasm	1						
vRP1_20	Cytoplasm	1						
vRP1_21	Cytoplasm	1						
vRP1_22	Cytoplasm	1						
vRP1_23	Cytoplasm	1						
vRP1_24	Cytoplasm	1						
vRP1_25	Cytoplasm	1						
vRP1_26	Cytoplasm	1						
vRP1_27	Cytoplasm	1						
vRP1_28	Cytoplasm	1						
vRP1_29	Cytoplasm	1						
vRP2_1	Cytoplasm	1						
vRP2_2	Cytoplasm	1						
vRP2_3	Cytoplasm	1						
vRP2_4	Cytoplasm	1						
vRP2_5	Cytoplasm	1						
vRP2_6	Cytoplasm	1						
vRP2_7	Cytoplasm	1						
vRP2_8	Cytoplasm	1						
vRP2_9	Cytoplasm	1						
vRP2_10	Cytoplasm	1						
vRP2_11	Cytoplasm	1						
vRP2_12	Cytoplasm	1						
vRP2_13	Cytoplasm	1						
vRP2_14	Cytoplasm	1						
vRP2_15	Cytoplasm	1						
vRP2_16	Cytoplasm	1						
vRP2_17	Cytoplasm	1						
vRP2_18	Cytoplasm	1						
vRP2_19	Cytoplasm	1						
vRP2_20	Cytoplasm	1						
vRP2_21	Cytoplasm	1						
vRP2_22	Cytoplasm	1						
vRP2_23	Cytoplasm	1						
vRP2_24	Cytoplasm	1						
vRP2_25	Cytoplasm	1						
vRP2_26	Cytoplasm	1						
vRP2_27	Cytoplasm	1						
vRP2_28	Cytoplasm	1						
vRP2_29	Cytoplasm	1						
vRP3_1	Cytoplasm	0.001						
vRP3_2	Cytoplasm	0.001						
vRP3_3	Cytoplasm	0.001						
vRP3_4	Cytoplasm	0.001						
vRP3_5	Cytoplasm	0.001						
vRP3_6	Cytoplasm	0.001						
vRP3_7	Cytoplasm	0.001						
vRP3_8	Cytoplasm	0.001						
vRP3_9	Cytoplasm	0.001						
vRP3_10	Cytoplasm	0.001						
vRP3_11	Cytoplasm	0.001						
vRP3_12	Cytoplasm	0.001						
vRP3_13	Cytoplasm	0.001						
vRP3_14	Cytoplasm	0.001						
vRP3_15	Cytoplasm	0.001						
vRP3_16	Cytoplasm	0.001						
vRP3_17	Cytoplasm	0.001						
vRP3_18	Cytoplasm	0.001						
vRP3_19	Cytoplasm	0.001						
vRP3_20	Cytoplasm	0.001						
vRP3_21	Cytoplasm	0.001						
vRP3_22	Cytoplasm	0.001						
vRP3_23	Cytoplasm	0.001						
vRP3_24	Cytoplasm	0.001						
vRP3_25	Cytoplasm	0.001						
vRP3_26	Cytoplasm	0.001						
vRP3_27	Cytoplasm	0.001						
vRP3_28	Cytoplasm	0.001						
vRP3_29	Cytoplasm	0.001						
vRP4_1	Cytoplasm	0.001						
vRP4_2	Cytoplasm	0.001						
vRP4_3	Cytoplasm	0.001						
vRP4_4	Cytoplasm	0.001						
vRP4_5	Cytoplasm	0.001						
vRP4_6	Cytoplasm	0.001						
vRP4_7	Cytoplasm	0.001						
vRP4_8	Cytoplasm	0.001						
vRP4_9	Cytoplasm	0.001						
vRP4_10	Cytoplasm	0.001						
vRP4_11	Cytoplasm	0.001						
vRP4_12	Cytoplasm	0.001						
vRP4_13	Cytoplasm	0.001						
vRP4_14	Cytoplasm	0.001						
vRP4_15	Cytoplasm	0.001						
vRP4_16	Cytoplasm	0.001						
vRP4_17	Cytoplasm	0.001						
vRP4_18	Cytoplasm	0.001						
vRP4_19	Cytoplasm	0.001						
vRP4_20	Cytoplasm	0.001						
vRP4_21	Cytoplasm	0.001						
vRP4_22	Cytoplasm	0.001						
vRP4_23	Cytoplasm	0.001						
vRP4_24	Cytoplasm	0.001						
vRP4_25	Cytoplasm	0.001						
vRP4_26	Cytoplasm	0.001						
vRP4_27	Cytoplasm	0.001						
vRP4_28	Cytoplasm	0.001						
vRP4_29	Cytoplasm	0.001						
vRP5_1	Cytoplasm	(kRP51_1*((pEE1E2/(kRP51_2+pEE1E2))*Cbl))+(kRP51_3*pEE1E2)	0.001667	2	0.00016667			
vRP5_2	Cytoplasm	(kRP52_1*(pEE1Ev3/(kRP52_2+pEE1Ev3))*Cbl)+(kRP52_3*pEE1Ev3)	0.001667	2	0.00016667			
vRP5_3	Cytoplasm	(kRP53_1*(pEE1E1/(kRP53_2+pEE1E1))*Cbl)+(kRP53_3*pEE1E1)	0.004667	2	0.00016667			
vRP5_4	Cytoplasm	(kRP54_1*(pEE1EE1/(kRP54_2+pEE1EE1))*Cbl)+(kRP54_3*pEE1EE1)	0.004667	2	0.00016667			
vRP5_5	Cytoplasm	(kRP55_1*(pEE1E3/(kRP55_2+pEE1E3))*Cbl)+(kRP55_3*pEE1E3)	0.001667	2	0.00016667			
vRP5_6	Cytoplasm	(kRP56_1*(pEE1HE3/(kRP56_2+pEE1HE3))*Cbl)+(kRP56_3*pEE1HE3)	0.001667	2	0.00016667			
vRP5_7	Cytoplasm	(kRP57_1*(pEE1E4/(kRP57_2+pEE1E4))*Cbl)+(kRP57_3*pEE1E4)	0.001667	2	0.00016667			
vRP5_8	Cytoplasm	(kRP58_1*(pEE1HE4/(kRP58_2+pEE1HE4))*Cbl)+(kRP58_3*pEE1HE4)	0.001667	2	0.00016667			
vRP5_9	Cytoplasm	(kRP59_1*(pE2HE3/(kRP59_2+pE2HE3))*Cbl)+(kRP59_3*pE2HE3)	0.00016667	2	0.00016667			
vRP5_10	Cytoplasm	(kRP510_1*(pHE3Ev3/(kRP510_2+pHE3Ev3))*Cbl)+(kRP510_3*pHE3Ev3)	0.00016667	2	0.00016667			
vRP5_11	Cytoplasm	(kRP511_1*(pE1HE3/(kRP511_2+pE1HE3))*Cbl)+(kRP511_3*pE1HE3)	0.001667	2	0.00016667			
vRP5_12	Cytoplasm	(kRP512_1*(pHE3E4/(kRP512_2+pHE3E4))*Cbl)+(kRP512_3*pHE3E4)	0.00016667	2	0.00016667			
vRP5_13	Cytoplasm	(kRP513_1*(pHE3HE4/(kRP513_2+pHE3HE4))*Cbl)+(kRP513_3*pHE3HE4)	0.00016667	2	0.00016667			
vRP5_14	Cytoplasm	(kRP514_1*(pE2HE4/(kRP514_2+pE2HE4))*Cbl)+(kRP514_3*pE2HE4)	0.00016667	2	0.00016667			
vRP5_15	Cytoplasm	(kRP515_1*(pHE4Ev3/(kRP515_2+pHE4Ev3))*Cbl)+(kRP515_3*pHE4Ev3)	0.00016667	2	0.00016667			
vRP5_16	Cytoplasm	(kRP516_1*(pE1HE4/(kRP516_2+pE1HE4))*Cbl)+(kRP516_3*pE1HE4)	0.001667	2	0.00016667			
vRP5_17	Cytoplasm	(kRP517_1*(pE3HE4/(kRP517_2+pE3HE4))*Cbl)+(kRP517_3*pE3HE4)	0.00016667	2	0.00016667			
vRP5_18	Cytoplasm	(kRP518_1*(pHE4E4/(kRP518_2+pHE4E4))*Cbl)+(kRP518_3*pHE4E4)	0.00016667	2	0.00016667			
vRP5_19	Cytoplasm	(kRP519_1*(pHE4HE4/(kRP519_2+pHE4HE4))*Cbl)+(kRP519_3*pHE4HE4)	0.00016667	2	0.00016667			
vRP5_20	Cytoplasm	(kRP520_1*(pHGF_Met_Met/(kRP520_2+pHGF_Met_Met))*Cbl)+(kRP520_3*pHGF_Met_Met)	0.00016667	2	0.00016667			
vRP5_21	Cytoplasm	(kRP521_1*(pHGF_Met_HGF_Met/(kRP521_2+pHGF_Met_HGF_Met))*Cbl)+(kRP521_3*pHGF_Met_HGF_Met)	0.00016667	2	0.00016667			
vRP5_22	Cytoplasm	(kRP522_1*(pPPrPPr/(kRP522_2+pPPrPPr))*Cbl)+(kRP522_3*pPPrPPr)	0.00016667	2	0.00016667			
vRP5_23	Cytoplasm	(kRP523_1*(pPPrPr/(kRP523_2+pPPrPr))*Cbl)+(kRP523_3*pPPrPr)	0.00016667	2	0.00016667			
vRP5_24	Cytoplasm	(kRP524_1*(pFFrFFr/(kRP524_2+pFFrFFr))*Cbl)+(kRP524_3*pFFrFFr)	0.00016667	2	0.00016667			
vRP5_25	Cytoplasm	(kRP525_1*(pFFrFr/(kRP525_2+pFFrFr))*Cbl)+(kRP525_3*pFFrFr)	0.00016667	2	0.00016667			
vRP5_26	Cytoplasm	(kRP526_1*(pIIrIr/(kRP526_2+pIIrIr))*Cbl)+(kRP526_3*pIIrIr)	7.93E-05	2	0.00016667			
vRP5_27	Cytoplasm	(kRP527_1*(pINS_Isr_Isr/(kRP527_2+pINS_Isr_Isr))*Cbl)+(kRP527_3*pINS_Isr_Isr)	0.00016667	2	0.00016667			
vRP5_28	Cytoplasm	(kRP528_1*(pIIrIrI/(kRP528_2+pIIrIrI))*Cbl)+(kRP528_3*pIIrIrI)	7.93E-05	2	0.00016667			
vRP5_29	Cytoplasm	(kRP529_1*(pINS_Isr_Isr_INS/(kRP529_2+pINS_Isr_Isr_INS))*Cbl)+(kRP529_3*pINS_Isr_Isr_INS)	0.00016667	2	0.00016667			
vRP6_1	Cytoplasm	1						
vRP6_2	Cytoplasm	1						
vRP6_3	Cytoplasm	1						
vRP6_4	Cytoplasm	1						
vRP6_5	Cytoplasm	1						
vRP6_6	Cytoplasm	1						
vRP6_7	Cytoplasm	1						
vRP6_8	Cytoplasm	1						
vRP6_9	Cytoplasm	1						
vRP6_10	Cytoplasm	1						
vRP6_11	Cytoplasm	1						
vRP6_12	Cytoplasm	1						
vRP6_13	Cytoplasm	1						
vRP6_14	Cytoplasm	1						
vRP6_15	Cytoplasm	1						
vRP6_16	Cytoplasm	1						
vRP6_17	Cytoplasm	1						
vRP6_18	Cytoplasm	1						
vRP6_19	Cytoplasm	1						
vRP6_20	Cytoplasm	1						
vRP6_21	Cytoplasm	1						
vRP6_22	Cytoplasm	1						
vRP6_23	Cytoplasm	1						
vRP6_24	Cytoplasm	1						
vRP6_25	Cytoplasm	1						
vRP6_26	Cytoplasm	1						
vRP6_27	Cytoplasm	1						
vRP6_28	Cytoplasm	1						
vRP6_29	Cytoplasm	1						
vRP7_1	Cytoplasm	1						
vRP7_2	Cytoplasm	1						
vRP7_3	Cytoplasm	1						
vRP7_4	Cytoplasm	1						
vRP7_5	Cytoplasm	1						
vRP7_6	Cytoplasm	1						
vRP7_7	Cytoplasm	1						
vRP7_8	Cytoplasm	1						
vRP7_9	Cytoplasm	1						
vRP7_10	Cytoplasm	1						
vRP7_11	Cytoplasm	1						
vRP7_12	Cytoplasm	1						
vRP7_13	Cytoplasm	1						
vRP7_14	Cytoplasm	1						
vRP7_15	Cytoplasm	1						
vRP7_16	Cytoplasm	1						
vRP7_17	Cytoplasm	1						
vRP7_18	Cytoplasm	1						
vRP7_19	Cytoplasm	1						
vRP7_20	Cytoplasm	1						
vRP7_21	Cytoplasm	1						
vRP7_22	Cytoplasm	1						
vRP7_23	Cytoplasm	1						
vRP7_24	Cytoplasm	1						
vRP7_25	Cytoplasm	1						
vRP7_26	Cytoplasm	1						
vRP7_27	Cytoplasm	1						
vRP7_28	Cytoplasm	1						
vRP7_29	Cytoplasm	1						
vRP8_1	Cytoplasm	0.00085205						
vRP8_2	Cytoplasm	0.00085205						
vRP8_3	Cytoplasm	0.00083711						
vRP8_4	Cytoplasm	0.00083711						
vRP8_5	Cytoplasm	0.00085205						
vRP8_6	Cytoplasm	0.00085205						
vRP8_7	Cytoplasm	0.00085205						
vRP8_8	Cytoplasm	0.00085205						
vRP8_9	Cytoplasm	0.0014						
vRP8_10	Cytoplasm	0.0014						
vRP8_11	Cytoplasm	0.00085205						
vRP8_12	Cytoplasm	0.0014						
vRP8_13	Cytoplasm	0.0014						
vRP8_14	Cytoplasm	0.0014						
vRP8_15	Cytoplasm	0.0014						
vRP8_16	Cytoplasm	0.00085205						
vRP8_17	Cytoplasm	0.0014						
vRP8_18	Cytoplasm	0.0014						
vRP8_19	Cytoplasm	0.0014						
vRP8_20	Cytoplasm	0.0014						
vRP8_21	Cytoplasm	0.0014						
vRP8_22	Cytoplasm	0.0014						
vRP8_23	Cytoplasm	0.0014						
vRP8_24	Cytoplasm	0.0014						
vRP8_25	Cytoplasm	0.0014						
vRP8_26	Cytoplasm	7.70E-07						
vRP8_27	Cytoplasm	3.20E-05						
vRP8_28	Cytoplasm	7.70E-07						
vRP8_29	Cytoplasm	3.20E-05						
vRP9_1	Cytoplasm	0.009						
vRP9_2	Cytoplasm	0.01						
vRP9_3	Cytoplasm	0.01						
vRP9_4	Cytoplasm	0.01						
vRP9_5	Cytoplasm	0.008						
vRP9_6	Cytoplasm	0.008						
vRP9_7	Cytoplasm	0.011						
vRP9_8	Cytoplasm	0.011						
vRP9_9	Cytoplasm	0.007						
vRP9_10	Cytoplasm	0.008						
vRP9_11	Cytoplasm	0.008						
vRP9_12	Cytoplasm	0.009						
vRP9_13	Cytoplasm	0.009						
vRP9_14	Cytoplasm	0.01						
vRP9_15	Cytoplasm	0.011						
vRP9_16	Cytoplasm	0.011						
vRP9_17	Cytoplasm	0.009						
vRP9_18	Cytoplasm	0.012						
vRP9_19	Cytoplasm	0.012						
vRP9_20	Cytoplasm	0.002						
vRP9_21	Cytoplasm	0.002						
vRP9_22	Cytoplasm	0.001						
vRP9_23	Cytoplasm	0.001						
vRP9_24	Cytoplasm	0.008						
vRP9_25	Cytoplasm	0.008						
vRP9_26	Cytoplasm	0.005						
vRP9_27	Cytoplasm	0.007						
vRP9_28	Cytoplasm	0.005						
vRP9_29	Cytoplasm	0.007						
vRP10_1	Cytoplasm	2.6						
vRP10_2	Cytoplasm	2.6						
vRP10_3	Cytoplasm	2.6						
vRP10_4	Cytoplasm	2.6						
vRP10_5	Cytoplasm	2.6						
vRP10_6	Cytoplasm	2.6						
vRP10_7	Cytoplasm	2.6						
vRP10_8	Cytoplasm	2.6						
vRP10_9	Cytoplasm	2.6						
vRP10_10	Cytoplasm	2.6						
vRP10_11	Cytoplasm	2.6						
vRP10_12	Cytoplasm	2.6						
vRP10_13	Cytoplasm	2.6						
vRP10_14	Cytoplasm	2.6						
vRP10_15	Cytoplasm	2.6						
vRP10_16	Cytoplasm	2.6						
vRP10_17	Cytoplasm	2.6						
vRP10_18	Cytoplasm	2.6						
vRP10_19	Cytoplasm	2.6						
vRP10_20	Cytoplasm	2.6						
vRP10_21	Cytoplasm	2.6						
vRP10_22	Cytoplasm	2.6						
vRP10_23	Cytoplasm	2.6						
vRP10_24	Cytoplasm	2.6						
vRP10_25	Cytoplasm	2.6						
vRP10_26	Cytoplasm	2.6						
vRP10_27	Cytoplasm	2.6						
vRP10_28	Cytoplasm	2.6						
vRP10_29	Cytoplasm	2.6						
vRP11_1	Cytoplasm	0.009						
vRP11_2	Cytoplasm	0.01						
vRP11_3	Cytoplasm	0.01						
vRP11_4	Cytoplasm	0.01						
vRP11_5	Cytoplasm	0.008						
vRP11_6	Cytoplasm	0.008						
vRP11_7	Cytoplasm	0.011						
vRP11_8	Cytoplasm	0.011						
vRP11_9	Cytoplasm	0.007						
vRP11_10	Cytoplasm	0.008						
vRP11_11	Cytoplasm	0.008						
vRP11_12	Cytoplasm	0.009						
vRP11_13	Cytoplasm	0.009						
vRP11_14	Cytoplasm	0.01						
vRP11_15	Cytoplasm	0.011						
vRP11_16	Cytoplasm	0.011						
vRP11_17	Cytoplasm	0.009						
vRP11_18	Cytoplasm	0.012						
vRP11_19	Cytoplasm	0.012						
vRP11_20	Cytoplasm	0.002						
