gene	t0	comp	t0stoc
ig_PIK3CB	1.818181818	Cytoplasm	2
ig_PIK3CG	1.818181818	Cytoplasm	2
ig_PIK3CD	1.818181818	Cytoplasm	2
ig_PIK3R1	1.818181818	Cytoplasm	1
ig_PIK3R2	1.818181818	Cytoplasm	2
ig_PIK3R3	1.818181818	Cytoplasm	2
ig_PIK3R4	1.818181818	Cytoplasm	2
ig_PIK3C2A	1.818181818	Cytoplasm	2
ig_RASGRP1	1.818181818	Cytoplasm	2
ig_RASGRP3	1.818181818	Cytoplasm	2
ig_NRAS	1.818181818	Cytoplasm	2
ig_KRAS	1.818181818	Cytoplasm	1
ig_HRAS	1.818181818	Cytoplasm	1
ig_NF1	1.818181818	Cytoplasm	2
ig_RAF1	1.818181818	Cytoplasm	2
ig_BRAF	1.818181818	Cytoplasm	2
ig_MAP2K1	1.818181818	Cytoplasm	2
ig_MAP2K2	1.818181818	Cytoplasm	2
ig_DUSP6	1.818181818	Cytoplasm	2
ig_RPS6KA1	1.818181818	Cytoplasm	2
ig_RPS6KA2	1.818181818	Cytoplasm	2
ig_RPS6KA3	1.818181818	Cytoplasm	2
ig_RPS6KA4	1.818181818	Cytoplasm	2
ig_DUSP1	2.727272727	Cytoplasm	3
ig_FOS	1.818181818	Cytoplasm	2
ig_JUN	1.818181818	Cytoplasm	1
ig_MYC	2.727272727	Cytoplasm	3
ig_CTNNB1	1.818181818	Cytoplasm	2
ig_PTEN	1.818181818	Cytoplasm	2
ig_AKT1	1.818181818	Cytoplasm	1
ig_AKT2	1.818181818	Cytoplasm	1
ig_PDPK1	1.818181818	Cytoplasm	1
ig_RICTOR	1.818181818	Cytoplasm	2
ig_MTOR	1.818181818	Cytoplasm	1
ig_GSK3B	1.818181818	Cytoplasm	2
ig_TSC1	1.818181818	Cytoplasm	2
ig_TSC2	1.818181818	Cytoplasm	2
ig_PRKCA	1.818181818	Cytoplasm	2
ig_PRKCB	1.818181818	Cytoplasm	1
ig_PRKCG	1.818181818	Cytoplasm	2
ig_PRKCD	1.818181818	Cytoplasm	2
ig_PEBP1	1.818181818	Cytoplasm	2
ig_MAPK1	1.818181818	Cytoplasm	2
ig_MAPK3	1.818181818	Cytoplasm	2
ig_FOXO3	1.818181818	Cytoplasm	1
ig_RHEB	1.818181818	Cytoplasm	2
ig_RPTOR	1.818181818	Cytoplasm	2
ig_RPS6KB1	1.818181818	Cytoplasm	2
ig_RPS6KB2	1.818181818	Cytoplasm	2
ig_EIF4EBP1	1.818181818	Cytoplasm	2
ig_SOS1	1.818181818	Cytoplasm	2
ig_CDKN2A	0	Cytoplasm	0
ig_MDM4	3.636363636	Cytoplasm	4
ig_FGFR1	1.818181818	Cytoplasm	2
ig_FGFR2	1.818181818	Cytoplasm	2
ig_FGF1	2.727272727	Cytoplasm	2
ig_FGF2	1.818181818	Cytoplasm	2
ig_EIF4E	1.818181818	Cytoplasm	2
ig_IRS1	1.818181818	Cytoplasm	2
ig_IRS2	1.818181818	Cytoplasm	2
ig_IGF1	1.818181818	Cytoplasm	2
ig_IGF2	1.818181818	Cytoplasm	2
ig_IGF1R	1.818181818	Cytoplasm	1
ig_MSH6	1.818181818	Cytoplasm	2
ig_BRCA2	1.818181818	Cytoplasm	2
ig_MGMT	1.818181818	Cytoplasm	2
ig_INSR	1.818181818	Cytoplasm	2
ig_INS	1.818181818	Cytoplasm	1
