species	compartment	IC_Xinitialized
pRBc1	Nucleus	8950.101045
pRBc2	Nucleus	0.2997245072
p21	Nucleus	20.87113116
Mdp21	Nucleus	0.4826480226
Mep21	Nucleus	0.2292498213
Map21	Nucleus	0.2620149336
Mbp21	Nucleus	0.01713714474
L	Extracellular	2.209929846e-17
R	Cytoplasm	8.031234918
L_R	Cytoplasm	2.236628481e-16
Ractive	Cytoplasm	7.563592526e-20
flip	Cytoplasm	0.5259280376
Ractive_flip	Cytoplasm	1.054757994e-19
pC8	Cytoplasm	26.54660509
Ractive_pC8	Cytoplasm	6.342698032e-21
C8	Cytoplasm	0.0003674208643
Bar	Cytoplasm	0.8415218389
C8_Bar	Cytoplasm	0.0009505365655
pC3	Cytoplasm	80.80066506
C8_pC3	Cytoplasm	0.004688275661
C3	Cytoplasm	0.0001371526409
pC6	Cytoplasm	47.69574836
C3_pC6	Cytoplasm	2.06643106e-08
C6	Cytoplasm	0.0003883378328
C6_C8	Cytoplasm	9.769605352e-08
XIAP	Cytoplasm	5.477823875
C3_XIAP	Cytoplasm	4.702948346e-05
PARP	Cytoplasm	640.1469933
C3_PARP	Cytoplasm	2.748739608e-06
cPARP	Cytoplasm	1.097547692
Bid	Cytoplasm	50.47686224
C8_Bid	Cytoplasm	5.317636935e-05
tBid	Cytoplasm	1.161035938e-06
Bcl2c	Cytoplasm	12.50020267
tBid_Bcl2c	Cytoplasm	4.090312327e-05
Bax	Cytoplasm	88.26032558
tBid_Bax	Cytoplasm	3.237039866e-08
Baxactive	Cytoplasm	5.753416931e-05
Baxm	Mitochondrion	0.0007720696516
Bcl2	Mitochondrion	1.783563109
Baxm_Bcl2	Mitochondrion	0.003880955978
Bax2	Mitochondrion	1.884770025e-05
Bax2_Bcl2	Mitochondrion	9.474157503e-05
Bax4	Mitochondrion	1.123213119e-08
Bax4_Bcl2	Mitochondrion	5.646045842e-08
M	Mitochondrion	2259.999207
Bax4_M	Mitochondrion	8.018784515e-08
Mactive	Mitochondrion	8.018783937e-06
CytoCm	Mitochondrion	15543.35268
Mactive_CytoCm	Mitochondrion	0.0007165767123
CytoCr	Mitochondrion	0.007163871835
Smacm	Mitochondrion	1474.62447
Mactive_Smacm	Mitochondrion	6.798285904e-05
Smacr	Mitochondrion	0.0005428878389
CytoC	Cytoplasm	0.000501404573
Apaf	Cytoplasm	0.5200146362
CytoC_Apaf	Cytoplasm	4.1182179e-07
Apafactive	Cytoplasm	0.001145514349
pC9	Cytoplasm	4.527923254
Apop	Cytoplasm	0.0004151732621
Apop_C3	Cytoplasm	0.0004795209788
Smac	Cytoplasm	2.842427626e-05
Apop_XIAP	Cytoplasm	0.01398321572
Smac_XIAP	Cytoplasm	0.003350696875
C3_Ub	Cytoplasm	2.020172617
BAD	Cytoplasm	0.09463057643
PUMA	Cytoplasm	0.02905420111
NOXA	Cytoplasm	0.005548757695
Bcl2c_BAD	Cytoplasm	3.33382113
Bcl2c_PUMA	Cytoplasm	1.023575183
Bcl2c_NOXA	Cytoplasm	0.1943735079
BIM	Cytoplasm	0.06004933043
BIM_Bax	Cytoplasm	1.674109802e-08
Bcl2c_BIM	Cytoplasm	2.115528978
ppERK_BIM	Cytoplasm	0.0006063485439
pBIM	Cytoplasm	0.1074742507
ppAKT_BAD	Cytoplasm	3.34900312e-05
pBAD	Cytoplasm	0.9053454054
ppERK_BAD	Cytoplasm	0.0009555806404
E	Extracellular	9.821690502e-17
H	Extracellular	9.359339033e-15
HGF	Extracellular	2.471927879e-15
P	Extracellular	2.859606111e-19
F	Extracellular	4.132678139e-16
I	Extracellular	1.256691706e-18
INS	Extracellular	8.952911093e-15
E1	Cytoplasm	50.03457212
pE1	Cytoplasm	5.051704426
E2	Cytoplasm	3.798188594
pE2	Cytoplasm	0.3835012469
E3	Cytoplasm	1.739962408
E4	Cytoplasm	8.215365204e-18
pE4	Cytoplasm	8.295995181e-19
Ev3	Cytoplasm	4.652000974e-11
Met	Cytoplasm	8.573345249
Pr	Cytoplasm	0.2296792839
Fr	Cytoplasm	0.1867156562
Ir	Cytoplasm	0.02181495049
Isr	Cytoplasm	0.02979643187
E1E1	Cytoplasm	2.503420483
E1E2	Cytoplasm	0.1900378623
E1E3	Cytoplasm	0.08705695578
E1E4	Cytoplasm	4.110463563e-19
E2E2	Cytoplasm	0.01442608662
E2E3	Cytoplasm	0.006608623884
E2E4	Cytoplasm	3.120320482e-20
E3E4	Cytoplasm	1.429426479e-20
E4E4	Cytoplasm	0.0
Met_Met	Cytoplasm	0.07350176755
FrFr	Cytoplasm	3.486250803e-05
IrIr	Cytoplasm	0.726909806
Isr_Isr	Cytoplasm	0.3089444254
EE1	Cytoplasm	1.835326375e-17
HE3	Cytoplasm	1.567188964e-16
HE4	Cytoplasm	1.7491322e-28
HGF_Met	Cytoplasm	7.656105392e-14
PPr	Cytoplasm	6.5595121e-20
FFr	Cytoplasm	3.015197255e-16
EE1E2	Cytoplasm	2.001079315e-16
EE1Ev3	Cytoplasm	4.848101713e-27
EE1E1	Cytoplasm	5.012775379e-16
EE1E3	Cytoplasm	9.091551831e-17
EE1E4	Cytoplasm	2.69108248e-27
E2HE3	Cytoplasm	5.396379306e-16
E1HE3	Cytoplasm	6.284684056e-15
HE3E3	Cytoplasm	2.723491711e-16
HE3Ev3	Cytoplasm	7.192151259e-27
HE3E4	Cytoplasm	4.676109087e-27
E2HE4	Cytoplasm	6.442678483e-28
HE4Ev3	Cytoplasm	8.092008522e-39
E1HE4	Cytoplasm	7.120680168e-27
E3HE4	Cytoplasm	1.973004834e-27
HE4E4	Cytoplasm	1.656359941e-39
HGF_Met_Met	Cytoplasm	5.627207658e-13
PPrPr	Cytoplasm	4.525588508e-24
FFrFr	Cytoplasm	4.938253368e-16
IIrIr	Cytoplasm	5.149036219e-19
INS_Isr_Isr	Cytoplasm	6.866078996e-17
EE1EE1	Cytoplasm	0.0
EE1HE3	Cytoplasm	4.736154355e-32
EE1HE4	Cytoplasm	8.571583003e-43
HE3HE3	Cytoplasm	9.311558951e-32
HE3HE4	Cytoplasm	2.350530385e-42
HE4HE4	Cytoplasm	0.0
HGF_Met_HGF_Met	Cytoplasm	1.025413216e-26
PPrPPr	Cytoplasm	0.0
FFrFFr	Cytoplasm	8.113763752e-30
IIrIrI	Cytoplasm	7.606573362e-38
INS_Isr_Isr_INS	Cytoplasm	1.017038849e-27
E1_ppERK	Cytoplasm	0.5052469697
E2_ppERK	Cytoplasm	0.03835411171
E4_ppERK	Cytoplasm	8.295934469e-20
pEE1E2	Cytoplasm	1.991872692e-16
pEE1Ev3	Cytoplasm	4.844014297e-27
pEE1E1	Cytoplasm	4.950590658e-16
pEE1EE1	Cytoplasm	0.0
pEE1E3	Cytoplasm	9.049453516e-17
pEE1HE3	Cytoplasm	4.714223655e-32
pEE1E4	Cytoplasm	2.712048561e-27
pEE1HE4	Cytoplasm	8.550360552e-43
pE2HE3	Cytoplasm	5.392754274e-16
pHE3Ev3	Cytoplasm	7.187379527e-27
pE1HE3	Cytoplasm	6.255582772e-15
pHE3E4	Cytoplasm	4.720338319e-27
pHE3HE4	Cytoplasm	2.357263365e-42
pE2HE4	Cytoplasm	6.443744674e-28
pHE4Ev3	Cytoplasm	8.087255169e-39
pE1HE4	Cytoplasm	7.089995752e-27
pE3HE4	Cytoplasm	1.990621365e-27
pHE4E4	Cytoplasm	1.673719472e-39
pHE4HE4	Cytoplasm	0.0
pHGF_Met_Met	Cytoplasm	5.623666891e-13
pHGF_Met_HGF_Met	Cytoplasm	1.023324021e-26
pPPrPPr	Cytoplasm	0.0
pPPrPr	Cytoplasm	4.524923319e-24
pFFrFFr	Cytoplasm	8.138081173e-30
