species	compartment	IC_Xinitialized
pHE3Ev3_G2_SOS_RasD	Cytoplasm	4.959635516e-29
pE1HE3_G2_SOS_RasD	Cytoplasm	4.316608179e-17
pHE3E4_G2_SOS_RasD	Cytoplasm	4.620139877e-29
pHE3HE4_G2_SOS_RasD	Cytoplasm	2.032557744e-44
pE2HE4_G2_SOS_RasD	Cytoplasm	5.555669371e-30
pHE4Ev3_G2_SOS_RasD	Cytoplasm	7.685917142e-41
pE1HE4_G2_SOS_RasD	Cytoplasm	6.737517919e-29
pE3HE4_G2_SOS_RasD	Cytoplasm	2.144837145e-29
pHE4E4_G2_SOS_RasD	Cytoplasm	1.737821964e-41
pHE4HE4_G2_SOS_RasD	Cytoplasm	0.0
pHGF_Met_Met_G2_SOS_RasD	Cytoplasm	9.701537091e-16
pHGF_Met_HGF_Met_G2_SOS_RasD	Cytoplasm	1.68989025e-29
pPPrPPr_G2_SOS_RasD	Cytoplasm	2.244059513e-33
pPPrPr_G2_SOS_RasD	Cytoplasm	3.904962258e-27
pFFrFFr_G2_SOS_RasD	Cytoplasm	7.048678558e-32
pFFrFr_G2_SOS_RasD	Cytoplasm	3.405421207e-18
pIIrIr_IRS_G2_SOS_RasD	Cytoplasm	1.617528699e-21
pINS_Isr_Isr_IRS_G2_SOS_RasD	Cytoplasm	2.994513554e-19
pIIrIrI_IRS_G2_SOS_RasD	Cytoplasm	2.804153568e-40
pINS_Isr_Isr_INS_IRS_G2_SOS_RasD	Cytoplasm	4.981228608e-30
pEE1E2_PLCg_PIP2	Cytoplasm	3.14298033e-17
pEE1Ev3_PLCg_PIP2	Cytoplasm	7.741514025e-28
pEE1E1_PLCg_PIP2	Cytoplasm	7.811547957e-17
pEE1EE1_PLCg_PIP2	Cytoplasm	0.0
pEE1E3_PLCg_PIP2	Cytoplasm	1.070936455e-17
pEE1HE3_PLCg_PIP2	Cytoplasm	5.578937967e-33
pEE1E4_PLCg_PIP2	Cytoplasm	5.602734941e-28
pEE1HE4_PLCg_PIP2	Cytoplasm	1.180591373e-43
pE2HE3_PLCg_PIP2	Cytoplasm	6.382300615e-17
pHE3Ev3_PLCg_PIP2	Cytoplasm	8.506231592e-28
pE1HE3_PLCg_PIP2	Cytoplasm	7.403022687e-16
pHE3E4_PLCg_PIP2	Cytoplasm	4.433552521e-28
pHE3HE4_PLCg_PIP2	Cytoplasm	2.085782068e-43
pE2HE4_PLCg_PIP2	Cytoplasm	7.6142273e-29
pHE4Ev3_PLCg_PIP2	Cytoplasm	9.597453917e-40
pE1HE4_PLCg_PIP2	Cytoplasm	8.780645876e-28
pE3HE4_PLCg_PIP2	Cytoplasm	2.087165964e-28
pHE4E4_PLCg_PIP2	Cytoplasm	1.361205334e-40
pHE4HE4_PLCg_PIP2	Cytoplasm	0.0
pHGF_Met_Met_PLCg_PIP2	Cytoplasm	8.875175185e-14
pHGF_Met_HGF_Met_PLCg_PIP2	Cytoplasm	1.552136707e-27
pPPrPPr_PLCg_PIP2	Cytoplasm	3.91742846e-31
pPPrPr_PLCg_PIP2	Cytoplasm	8.953058589e-25
pFFrFFr_PLCg_PIP2	Cytoplasm	1.448168024e-30
pFFrFr_PLCg_PIP2	Cytoplasm	1.168257217e-16
pIIrIr_IRS_PLCg_PIP2	Cytoplasm	2.217625361e-20
pINS_Isr_Isr_IRS_PLCg_PIP2	Cytoplasm	6.842443626e-18
pIIrIrI_IRS_PLCg_PIP2	Cytoplasm	3.483349565e-39
pINS_Isr_Isr_INS_IRS_PLCg_PIP2	Cytoplasm	1.073621329e-28
pEE1E2_PI3K1_PIP2	Cytoplasm	2.259914671e-16
pEE1Ev3_PI3K1_PIP2	Cytoplasm	2.940045056e-27
pEE1E1_PI3K1_PIP2	Cytoplasm	2.808390442e-16
pEE1EE1_PI3K1_PIP2	Cytoplasm	0.0
pEE1E3_PI3K1_PIP2	Cytoplasm	2.566804701e-16
pEE1HE3_PI3K1_PIP2	Cytoplasm	1.337151645e-31
pEE1E4_PI3K1_PIP2	Cytoplasm	6.01402049e-27
pEE1HE4_PI3K1_PIP2	Cytoplasm	1.033682483e-42
pE2HE3_PI3K1_PIP2	Cytoplasm	1.836341284e-15
pHE3Ev3_PI3K1_PIP2	Cytoplasm	2.039539395e-26
pE1HE3_PI3K1_PIP2	Cytoplasm	1.774344399e-14
pHE3E4_PI3K1_PIP2	Cytoplasm	2.164640127e-26
pHE3HE4_PI3K1_PIP2	Cytoplasm	7.952593753e-42
pE2HE4_PI3K1_PIP2	Cytoplasm	1.17293261e-27
pHE4Ev3_PI3K1_PIP2	Cytoplasm	9.203660704e-39
pE1HE4_PI3K1_PIP2	Cytoplasm	8.043752048e-27
pE3HE4_PI3K1_PIP2	Cytoplasm	9.09324934e-27
pHE4E4_PI3K1_PIP2	Cytoplasm	2.927295527e-39
pHE4HE4_PI3K1_PIP2	Cytoplasm	0.0
pHGF_Met_Met_PI3K1_PIP2	Cytoplasm	9.58353028e-13
pHGF_Met_HGF_Met_PI3K1_PIP2	Cytoplasm	1.671853032e-26
pPPrPPr_PI3K1_PIP2	Cytoplasm	2.833628822e-30
pPPrPr_PI3K1_PIP2	Cytoplasm	7.890092359e-24
pFFrFFr_PI3K1_PIP2	Cytoplasm	3.38830775e-29
pFFrFr_PI3K1_PIP2	Cytoplasm	2.242664942e-15
pIIrIr_IRS_PI3K1_PIP2	Cytoplasm	1.10976611e-18
pINS_Isr_Isr_IRS_PI3K1_PIP2	Cytoplasm	2.026546195e-16
pIIrIrI_IRS_PI3K1_PIP2	Cytoplasm	1.776465808e-37
pINS_Isr_Isr_INS_IRS_PI3K1_PIP2	Cytoplasm	3.203832646e-27
pEE1E2_PI3K2_PIP	Cytoplasm	1.404859968e-44
pEE1Ev3_PI3K2_PIP	Cytoplasm	0.0
pEE1E1_PI3K2_PIP	Cytoplasm	1.745815046e-44
pEE1EE1_PI3K2_PIP	Cytoplasm	4.551274341e-55
pEE1E3_PI3K2_PIP	Cytoplasm	1.595635945e-44
pEE1HE3_PI3K2_PIP	Cytoplasm	8.254638418e-60
pEE1E4_PI3K2_PIP	Cytoplasm	0.0
pEE1HE4_PI3K2_PIP	Cytoplasm	0.0
pE2HE3_PI3K2_PIP	Cytoplasm	4.395795623e-32
pHE3Ev3_PI3K2_PIP	Cytoplasm	1.624053979e-54
pE1HE3_PI3K2_PIP	Cytoplasm	1.413444946e-42
pHE3E4_PI3K2_PIP	Cytoplasm	6.861399856e-54
pHE3HE4_PI3K2_PIP	Cytoplasm	0.0
pE2HE4_PI3K2_PIP	Cytoplasm	0.0
pHE4Ev3_PI3K2_PIP	Cytoplasm	0.0
pE1HE4_PI3K2_PIP	Cytoplasm	0.0
pE3HE4_PI3K2_PIP	Cytoplasm	0.0
pHE4E4_PI3K2_PIP	Cytoplasm	0.0
pHE4HE4_PI3K2_PIP	Cytoplasm	0.0
pHGF_Met_Met_PI3K2_PIP	Cytoplasm	6.834904636e-41
pHGF_Met_HGF_Met_PI3K2_PIP	Cytoplasm	7.589746476e-54
pPPrPPr_PI3K2_PIP	Cytoplasm	9.143690961e-57
pPPrPr_PI3K2_PIP	Cytoplasm	9.375422479e-51
pFFrFFr_PI3K2_PIP	Cytoplasm	1.115535444e-54
pFFrFr_PI3K2_PIP	Cytoplasm	2.481549702e-42
pIIrIr_IRS_PI3K2_PIP	Cytoplasm	2.341807147e-32
pINS_Isr_Isr_IRS_PI3K2_PIP	Cytoplasm	5.606908211e-31
pIIrIrI_IRS_PI3K2_PIP	Cytoplasm	0.0
pINS_Isr_Isr_INS_IRS_PI3K2_PIP	Cytoplasm	0.0
IRS	Cytoplasm	0.9354751274
Sp	Cytoplasm	0.01808598889
Cbl	Cytoplasm	5.29944457
G2	Cytoplasm	60.84541893
G2_SOS	Cytoplasm	0.2780628816
G2_pSOS	Cytoplasm	0.2804741168
PLCg	Cytoplasm	2.214084352
PI3KC1	Cytoplasm	0.02369428379
PI3KR1	Cytoplasm	8.962215132
PI3K1	Cytoplasm	2.010455035
pPI3K1	Cytoplasm	0.3386715341
PI3K2	Cytoplasm	1.723260324
mTORC1	Cytoplasm	2.742829052
mTORC1active	Cytoplasm	0.1861962725
PIP	Cytoplasm	9.321420661e-25
PI3P	Cytoplasm	3.069265878e-27
DAG	Cytoplasm	8.3132621e-12
GRP	Cytoplasm	9.676924432
DAG_GRP	Cytoplasm	8.044680286e-13
RasT	Cytoplasm	2.800703532
RasD	Cytoplasm	161.3126627
NF1	Cytoplasm	0.7812905073
pNF1	Cytoplasm	0.0
pCRaf	Cytoplasm	3.269177111
CRaf	Cytoplasm	3.240562692
RasT_CRaf	Cytoplasm	0.9051019357
BRaf	Cytoplasm	0.4172370405
RasT_CRaf_BRaf	Cytoplasm	0.1053176134
MEK	Cytoplasm	125.1738076
pMEK	Cytoplasm	16.26581987
ppMEK	Cytoplasm	21.13239855
MKP3	Cytoplasm	0.001985154134
ERKnuc	Nucleus	0.4072546246
ppERKnuc	Nucleus	7.328229136
RSK	Cytoplasm	69.52776465
pRSK	Cytoplasm	0.7020912726
pRSKnuc	Nucleus	1.781693486
MKP1	Nucleus	0.002018678084
pMKP1	Nucleus	0.01587054615
cFos	Nucleus	2.983884224
pcFos	Nucleus	0.2469072999
cJun	Nucleus	2.871015997
pcFos_cJun	Nucleus	0.07054789691
cMyc	Nucleus	45.43999542
bCATENINnuc	Nucleus	35.48972345
bCATENIN	Cytoplasm	17.75802481
pbCATENIN	Cytoplasm	179.8176783
IP3	Cytoplasm	1.108639811e-12
PIP2	Cytoplasm	9998.270013
PIP3	Cytoplasm	1.607243591
PTEN	Cytoplasm	2.31569729
PIP3_AKT	Cytoplasm	0.735101993
AKT	Cytoplasm	48.16327801
pAKT	Cytoplasm	0.03892740141
ppAKT	Cytoplasm	0.3892964137
PDK1	Cytoplasm	11.50741446
PIP3_PDK1	Cytoplasm	0.1849391916
PIP3_pAKT	Cytoplasm	0.06359493328
Rictor	Cytoplasm	0.1671201302
mTOR	Cytoplasm	1.180379635
mTORC2	Cytoplasm	1.839428842
PIP3_ppAKT	Cytoplasm	0.003957865377
GSK3b	Cytoplasm	40.76563894
pGSK3b	Cytoplasm	1.441867971
TSC1	Cytoplasm	0.05644029555
TSC2	Cytoplasm	0.3484301877
pTSC2	Cytoplasm	0.08712561019
TSC	Cytoplasm	0.1965498182
PKC	Cytoplasm	20.15319057
DAG_PKC	Cytoplasm	1.675284037e-12
pRKIP	Cytoplasm	1.58153491e-09
RKIP	Cytoplasm	1039.059938
RKIP_CRaf	Cytoplasm	0.0
ERK	Cytoplasm	220.5802659
pERK	Cytoplasm	22.08338653
ppERK	Cytoplasm	11.10790594
FOXO	Cytoplasm	0.3011412339
pFOXO	Cytoplasm	0.5116662197
RhebD	Cytoplasm	105.3089477
RhebT	Cytoplasm	0.0
Raptor	Cytoplasm	0.2956691739
S6K	Cytoplasm	18.41520081
pS6K	Cytoplasm	1.038818532
EIF4EBP1	Cytoplasm	0.6519450072
pEIF4EBP1	Cytoplasm	1.100209222
SOS	Cytoplasm	0.0005601542117
G2_SOS_ppERK	Cytoplasm	0.002807877216
CRaf_ppERK	Cytoplasm	0.0327232279
RasD_DAG_GRP	Cytoplasm	1.179727912e-13
RasT_NF1	Cytoplasm	0.003646936387
NF1_ppERK	Cytoplasm	0.0
MEK_RasT_CRaf_BRaf	Cytoplasm	0.2197164256
pMEK_RasT_CRaf_BRaf	Cytoplasm	0.02855124302
ERK_ppMEK	Cytoplasm	2.330691047
pERK_ppMEK	Cytoplasm	0.2333370624
RSK_ppERK	Cytoplasm	0.7020958728
pRSKnuc_MKP1	Nucleus	3.26893308e-06
ppERKnuc_MKP1	Nucleus	1.344691773e-05
cFos_pRSKnuc	Nucleus	0.004831933295
cFos_ppERKnuc	Nucleus	0.01987407747
RKIP_DAG_PKC	Cytoplasm	1.582468636e-12
PIP3_PTEN	Cytoplasm	0.00338353558
PIP3_AKT_PIP3_PDK1	Cytoplasm	0.0004531636829
PIP3_pAKT_mTORC2	Cytoplasm	0.00038992766
GSK3b_ppAKT	Cytoplasm	0.01442712053
bCATENIN_GSK3b	Cytoplasm	0.0
TSC2_ppAKT	Cytoplasm	0.0006782111612
TSC2_ppERK	Cytoplasm	0.001935113083
RhebT_TSC	Cytoplasm	0.0
EIF4EBP1_mTORC1active	Cytoplasm	0.001103539965
S6K_mTORC1active	Cytoplasm	0.003117121646
FOXO_ppAKT	Cytoplasm	0.0005328754051
PI3K1_mTORC1active	Cytoplasm	0.0003403005152
pERK_MKP3	Cytoplasm	3.984427018e-05
ppERK_MKP3	Cytoplasm	0.0
ppERKnuc_pMKP1	Cytoplasm	0.0001056560239
RasT_BRaf	Cytoplasm	0.1163975372
RasT_BRaf_BRaf	Cytoplasm	0.001354808868
MEK_RasT_BRaf_BRaf	Cytoplasm	0.001541694874
pMEK_RasT_BRaf_BRaf	Cytoplasm	0.0002003368883
EIF4E	Cytoplasm	235.6511809
EIF4EBP1_EIF4E	Cytoplasm	15.31679145
RasT_CRaf_CRaf	Cytoplasm	0.08191458909
MEK_RasT_CRaf_CRaf	Cytoplasm	0.5126755841
pMEK_RasT_CRaf_CRaf	Cytoplasm	0.06662007701
FOXOnuc	Nucleus	9.030493768
MEKi	Cytoplasm	0.0
MEKi_ppMEK	Cytoplasm	0.0
AKTi	Cytoplasm	0.0
AKTi_AKT	Cytoplasm	0.0
mT	Cytoplasm	37.68814159
EIF4E_mT	Cytoplasm	88.81107174
